/usr/local/lib/python2.7/dist-packages/lasagne/init.py:86: UserWarning: The uniform initializer no longer uses Glorot et al.'s approach to determine the bounds, but defaults to the range (-0.01, 0.01) instead. Please use the new GlorotUniform initializer to get the old behavior. GlorotUniform is now the default for all layers.
  warnings.warn("The uniform initializer no longer uses Glorot et al.'s "
/usr/local/lib/python2.7/dist-packages/lasagne/layers/helper.py:69: UserWarning: get_all_layers() has been changed to return layers in topological order. The former implementation is still available as get_all_layers_old(), but will be removed before the first release of Lasagne. To ignore this warning, use `warnings.filterwarnings('ignore', '.*topo.*')`.
  warnings.warn("get_all_layers() has been changed to return layers in "
local file exists
MD5 check passed
use existing files
There are 1056 yes images
There are 9244 no images
There are 22860 unknown images that we will predict
# Neural Network with 412626 learnable parameters

## Layer information

  #  name      size
---  --------  --------
  0  input     1x91x91
  1  conv1     4x89x89
  2  pool1     4x45x45
  3  dropout1  4x45x45
  4  conv2     8x43x43
  5  pool2     8x22x22
  6  dropout2  8x22x22
  7  conv3     16x21x21
  8  pool3     16x11x11
  9  dropout3  16x11x11
 10  hidden4   200
 11  dropout4  200
 12  hidden5   120
 13  dropout5  120
 14  output    2

  epoch    train loss    valid loss    train/val    valid acc  dur
     22       [36m0.14990[0m       [32m0.17088[0m      0.87721      0.94054  33.11s
     23       0.15470       [32m0.15703[0m      0.98520      0.94376  33.13s
     24       [36m0.14746[0m       0.16221      0.90907      0.94284  33.03s
     25       [36m0.14724[0m       0.16553      0.88952      0.94828  33.11s
     26       0.14779       0.19116      0.77311      0.93916  33.29s
     27       [36m0.14281[0m       [32m0.15699[0m      0.90969      0.94828  33.19s
     28       [36m0.13587[0m       [32m0.12627[0m      1.07603      0.95832  33.25s
     29       0.13770       0.16504      0.83432      0.94560  33.03s
     30       [36m0.13096[0m       0.14960      0.87540      0.94743  33.07s
     31       [36m0.12702[0m       0.16193      0.78447      0.94514  33.15s
     32       0.13988       0.17204      0.81305      0.94468  33.22s
     33       0.13147       0.14033      0.93687      0.95334  33.16s
     34       [36m0.12686[0m       0.14051      0.90282      0.94828  33.15s
     35       [36m0.12297[0m       0.13625      0.90256      0.95242  33.04s
     36       0.12465       0.14039      0.88788      0.95380  33.70s
     37       [36m0.12180[0m       0.12855      0.94746      0.95878  33.34s
     38       [36m0.11974[0m       0.13737      0.87165      0.94835  33.08s
     39       0.12005       [32m0.11202[0m      1.07169      0.96246  33.20s
     40       0.12158       0.12026      1.01101      0.96108  33.11s
     41       0.12136       0.11713      1.03610      0.96514  33.15s
     42       0.12030       0.13195      0.91177      0.95019  33.09s
     43       [36m0.11116[0m       0.13478      0.82475      0.95242  33.24s
     44       0.11631       [32m0.11004[0m      1.05692      0.96560  33.22s
     45       [36m0.10403[0m       0.14499      0.71751      0.95065  33.16s
     46       0.10483       0.11979      0.87514      0.95878  33.17s
     47       0.11107       0.12693      0.87503      0.94789  33.09s
     48       0.10960       0.11844      0.92540      0.95472  33.17s
     49       0.10968       [32m0.10927[0m      1.00381      0.96108  33.14s
     50       0.10497       0.12763      0.82250      0.95740  33.93s
     51       0.10753       0.10942      0.98271      0.96606  33.45s
     52       0.10828       0.12147      0.89141      0.95203  33.86s
     53       0.10868       0.13149      0.82651      0.95786  33.81s
     54       0.10660       0.12690      0.84004      0.95832  33.66s
     55       [36m0.09834[0m       0.16572      0.59339      0.94560  33.50s
     56       [36m0.09818[0m       [32m0.09526[0m      1.03069      0.96928  33.20s
     57       [36m0.09814[0m       0.11543      0.85021      0.96154  33.31s
     58       0.09987       0.11159      0.89494      0.95970  33.82s
     59       0.10094       0.11360      0.88858      0.96108  33.51s
     60       [36m0.09536[0m       [32m0.09442[0m      1.00990      0.96928  33.55s
     61       0.10627       0.09898      1.07361      0.96836  33.40s
     62       [36m0.09038[0m       0.09804      0.92186      0.96384  33.20s
     63       0.09489       [32m0.09312[0m      1.01898      0.97066  33.02s
     64       0.10158       0.10477      0.96954      0.95839  33.14s
     65       0.09786       0.10942      0.89441      0.95295  32.99s
     66       0.09184       0.09661      0.95061      0.96659  33.11s
     67       0.09731       0.12334      0.78895      0.95563  33.13s
     68       0.09905       [32m0.08803[0m      1.12518      0.96843  33.12s
     69       [36m0.08967[0m       0.10132      0.88495      0.96384  33.11s
     70       0.09705       0.13899      0.69826      0.94789  33.16s
     71       [36m0.08798[0m       0.09956      0.88365      0.95977  33.07s
     72       [36m0.08753[0m       0.09604      0.91146      0.97066  33.10s
     73       0.08873       0.11235      0.78972      0.95609  33.20s
     74       0.09037       0.09298      0.97192      0.97564  33.15s
     75       [36m0.08608[0m       0.09971      0.86333      0.96928  33.23s
     76       0.08863       0.08981      0.98684      0.97112  33.20s
     77       [36m0.08403[0m       0.09737      0.86300      0.95885  33.45s
     78       [36m0.08392[0m       0.10678      0.78594      0.95701  33.20s
     79       [36m0.08039[0m       0.10592      0.75896      0.95655  33.20s
     80       0.08362       0.11391      0.73406      0.95747  33.22s
     81       0.08743       0.09455      0.92469      0.96253  33.12s
     82       0.08625       0.10534      0.81882      0.96115  33.20s
     83       0.08274       0.09613      0.86072      0.97020  33.08s
     84       0.08497       0.08844      0.96072      0.97112  33.16s
     85       0.08585       0.11381      0.75435      0.95977  33.22s
     86       0.08040       0.10207      0.78770      0.96521  33.16s
     87       0.08458       [32m0.08741[0m      0.96768      0.97296  33.15s
     88       [36m0.07781[0m       0.09204      0.84533      0.96836  33.14s
     89       0.07782       0.09288      0.83786      0.96744  33.11s
     90       0.08539       [32m0.08090[0m      1.05551      0.97663  33.59s
     91       [36m0.07781[0m       0.10433      0.74579      0.96476  33.34s
     92       0.07918       0.09324      0.84928      0.96659  33.06s
     93       0.08197       0.09447      0.86774      0.96391  33.06s
     94       0.08774       0.09688      0.90565      0.96790  33.10s
     95       0.07970       0.09871      0.80741      0.97020  33.14s
     96       [36m0.07217[0m       0.09193      0.78505      0.97066  33.34s
     97       0.07719       0.08523      0.90565      0.97204  33.18s
     98       0.07399       0.09849      0.75128      0.96974  33.11s
     99       0.07952       0.08276      0.96075      0.97342  33.07s
    100       0.07974       0.09470      0.84197      0.96476  33.08s
    101       0.07745       0.09062      0.85467      0.96751  33.03s
    102       0.07706       0.10905      0.70659      0.95747  33.11s
    103       0.07342       [32m0.07899[0m      0.92952      0.97388  33.04s
    104       0.07590       0.07904      0.96022      0.97434  33.14s
    105       0.07462       0.08817      0.84636      0.96843  33.13s
    106       0.07741       [32m0.07371[0m      1.05010      0.97617  33.17s
    107       0.07777       0.10531      0.73844      0.96705  33.08s
    108       [36m0.06950[0m       0.09814      0.70822      0.96613  33.12s
    109       [36m0.06922[0m       0.07619      0.90843      0.97755  33.14s
    110       0.07395       0.07438      0.99422      0.97342  33.14s
    111       0.07223       [32m0.07107[0m      1.01640      0.97755  33.19s
    112       [36m0.06874[0m       0.08554      0.80360      0.97204  33.16s
    113       0.07484       0.07948      0.94161      0.96889  33.14s
    114       0.06889       0.07569      0.91025      0.97073  33.17s
    115       [36m0.06797[0m       0.08058      0.84359      0.97066  33.17s
    116       [36m0.06516[0m       0.07847      0.83030      0.96797  33.17s
    117       0.07290       0.08044      0.90617      0.97112  33.29s
    118       0.06623       [32m0.06923[0m      0.95667      0.97571  33.20s
    119       0.06518       0.07015      0.92909      0.97250  33.05s
    120       0.06687       0.07135      0.93718      0.97840  33.22s
    121       0.07080       0.08907      0.79479      0.96253  33.07s
    122       0.06661       0.08337      0.79891      0.96705  33.03s
    123       0.06747       [32m0.06636[0m      1.01672      0.97886  33.09s
    124       0.06789       0.07056      0.96218      0.97296  33.23s
    125       0.06668       0.07049      0.94590      0.97388  33.13s
    126       0.06541       0.07120      0.91861      0.97479  33.21s
    127       [36m0.06071[0m       0.07577      0.80123      0.97794  33.17s
    128       0.06386       0.06980      0.91492      0.97571  33.06s
    129       0.06328       0.08938      0.70795      0.96705  33.22s
    130       0.06509       0.08094      0.80409      0.96935  33.10s
    131       0.06915       0.07198      0.96065      0.97886  33.18s
    132       0.06335       0.06708      0.94440      0.98116  33.10s
    133       0.06194       0.06900      0.89773      0.97709  33.23s
    134       0.06686       0.07519      0.88928      0.98070  33.24s
    135       [36m0.05950[0m       [32m0.06300[0m      0.94440      0.97847  33.10s
    136       0.06248       0.06645      0.94019      0.98024  33.06s
    137       0.05955       0.06423      0.92718      0.97571  33.14s
    138       0.06036       0.06375      0.94679      0.98024  33.15s
    139       0.06150       0.06546      0.93943      0.97978  33.17s
    140       [36m0.05177[0m       0.06373      0.81233      0.97479  33.27s
    141       0.06480       0.06697      0.96767      0.97978  33.09s
    142       0.05442       [32m0.06084[0m      0.89443      0.98116  33.14s
    143       0.05980       0.06848      0.87324      0.97794  33.16s
    144       0.06529       [32m0.06073[0m      1.07518      0.97755  33.59s
    145       0.05975       0.06184      0.96624      0.98162  33.54s
    146       0.05502       0.06325      0.86981      0.98070  33.09s
    147       0.06072       0.06766      0.89732      0.98116  33.09s
    148       0.05866       0.07234      0.81087      0.97342  33.06s
    149       0.06211       0.06869      0.90424      0.97709  33.21s
    150       0.06519       0.07000      0.93131      0.97932  33.09s
    151       0.06109       0.07757      0.78755      0.96666  33.20s
    152       0.05744       0.06171      0.93073      0.97985  33.11s
    153       0.05965       0.06269      0.95157      0.97893  33.21s
    154       0.05608       0.06310      0.88870      0.97801  33.06s
    155       0.05215       0.06347      0.82155      0.98208  33.09s
    156       0.06036       [32m0.05891[0m      1.02464      0.98483  33.07s
    157       0.06109       0.07013      0.87118      0.97479  33.07s
    158       0.05406       [32m0.05859[0m      0.92266      0.98438  33.14s
    159       0.06245       0.06247      0.99971      0.98123  33.02s
    160       0.06075       0.06725      0.90336      0.97847  33.05s
    161       0.05482       0.06464      0.84798      0.97801  33.00s
    162       0.05767       0.06830      0.84432      0.97525  33.05s
    163       0.05620       [32m0.05809[0m      0.96749      0.97847  33.00s
    164       0.06253       [32m0.05347[0m      1.16947      0.98529  33.06s
    165       0.05748       0.06112      0.94038      0.98300  33.00s
    166       [36m0.05093[0m       0.06177      0.82464      0.97525  33.02s
    167       0.05823       0.06321      0.92124      0.98438  33.06s
    168       0.05632       0.06746      0.83498      0.97571  32.93s
    169       0.05974       0.05769      1.03547      0.97847  33.09s
    170       0.05380       [32m0.04913[0m      1.09519      0.98667  33.04s
    171       [36m0.04864[0m       0.06080      0.80000      0.97985  32.98s
    172       0.05692       [32m0.04850[0m      1.17358      0.98713  33.09s
    173       0.05197       [32m0.04770[0m      1.08949      0.98805  33.08s
    174       0.05853       0.04941      1.18442      0.98805  33.24s
    175       0.05253       0.04921      1.06755      0.98851  33.29s
    176       0.05371       0.05599      0.95928      0.98575  33.19s
    177       [36m0.04816[0m       0.05223      0.92209      0.98529  33.14s
    178       0.04882       [32m0.04680[0m      1.04306      0.98667  33.24s
    179       0.05552       0.06315      0.87913      0.98024  33.34s
    180       0.05103       0.05143      0.99208      0.98529  33.49s
    181       [36m0.04288[0m       [32m0.04647[0m      0.92280      0.98713  33.16s
    182       0.05426       0.04847      1.11944      0.98897  33.08s
    183       0.04917       0.04656      1.05623      0.98713  33.00s
    184       0.05133       0.04988      1.02912      0.98392  33.10s
    185       0.05728       0.05136      1.11532      0.98621  33.12s
    186       0.05449       0.05266      1.03482      0.98438  33.04s
    187       0.05491       0.05407      1.01553      0.98392  33.10s
    188       0.04886       0.05210      0.93773      0.98575  33.03s
    189       0.04389       [32m0.04597[0m      0.95495      0.98713  33.05s
    190       0.05159       0.05156      1.00062      0.98077  32.95s
    191       0.04505       [32m0.04530[0m      0.99434      0.98667  33.04s
    192       0.04818       [32m0.04194[0m      1.14866      0.98851  33.02s
    193       0.05130       0.04397      1.16672      0.98805  33.06s
    194       0.05093       0.04638      1.09811      0.98713  33.12s
    195       0.05055       [32m0.04071[0m      1.24160      0.98897  32.94s
    196       0.04652       0.04109      1.13216      0.98897  33.03s
    197       0.05311       [32m0.03923[0m      1.35397      0.98851  32.89s
    198       0.04892       0.05159      0.94822      0.97716  33.04s
    199       0.04884       0.04363      1.11934      0.98759  33.61s
    200       0.05131       0.04041      1.26978      0.98943  33.08s
    201       0.05266       0.05091      1.03442      0.98261  33.01s
    202       [36m0.04243[0m       0.04758      0.89193      0.98261  33.02s
    203       [36m0.04111[0m       0.03962      1.03775      0.98851  33.05s
    204       0.04629       0.04429      1.04523      0.98621  33.15s
    205       0.05311       0.04219      1.25880      0.98943  33.04s
    206       0.04400       0.04540      0.96935      0.98621  32.83s
    207       0.04347       0.04690      0.92686      0.98759  33.14s
    208       0.04424       0.04566      0.96887      0.98621  33.00s
    209       0.04376       0.04243      1.03134      0.98621  33.15s
    210       0.04447       0.05134      0.86617      0.97487  33.04s
    211       0.04532       0.04253      1.06563      0.98805  33.11s
    212       0.04121       [32m0.03834[0m      1.07496      0.98667  33.07s
    213       0.04944       0.05059      0.97743      0.97709  33.16s
    214       0.04154       0.03841      1.08142      0.98759  33.45s
    215       0.04860       0.04761      1.02075      0.98713  33.10s
    216       0.05030       0.04919      1.02249      0.98713  33.20s
    217       0.04716       0.04329      1.08934      0.98943  33.10s
    218       0.04400       0.04403      0.99926      0.98943  33.13s
    219       0.04436       0.05746      0.77205      0.98346  32.89s
    220       0.04186       0.04116      1.01690      0.98851  32.99s
    221       0.04442       0.04361      1.01863      0.98805  32.96s
    222       [36m0.04085[0m       0.04875      0.83797      0.98169  33.78s
    223       [36m0.03970[0m       [32m0.03669[0m      1.08194      0.98713  33.62s
    224       0.04291       [32m0.03584[0m      1.19729      0.98851  32.97s
    225       0.04160       0.03871      1.07465      0.98989  33.07s
    226       0.04161       0.04992      0.83353      0.97847  32.95s
    227       0.04456       0.05337      0.83502      0.97985  33.09s
    228       0.04588       0.03796      1.20880      0.99035  32.94s
    229       0.04154       [32m0.03368[0m      1.23340      0.99127  33.10s
    230       0.04352       0.04359      0.99834      0.98713  32.95s
    231       0.04835       0.05603      0.86298      0.98031  32.97s
    232       0.04039       0.04359      0.92673      0.98897  32.82s
    233       0.03975       0.04093      0.97120      0.98713  33.04s
    234       0.04197       0.04209      0.99718      0.98851  32.96s
    235       0.04914       0.04533      1.08394      0.98215  32.88s
    236       0.04116       0.03977      1.03513      0.99035  33.07s
    237       0.04370       0.03823      1.14316      0.98943  32.90s
    238       0.04483       0.03643      1.23050      0.98943  33.02s
    239       [36m0.03749[0m       0.04174      0.89815      0.98805  32.92s
    240       0.04350       0.04171      1.04305      0.98943  33.05s
    241       0.04035       0.03676      1.09762      0.98943  32.92s
    242       0.04386       0.04196      1.04549      0.98851  32.98s
    243       0.04359       0.04979      0.87541      0.98483  32.95s
    244       0.04442       0.03405      1.30472      0.99081  32.91s
    245       0.04367       0.03858      1.13201      0.98943  33.28s
    246       0.04002       0.03796      1.05440      0.99035  32.98s
    247       0.04400       0.04111      1.07033      0.98805  33.06s
    248       0.03811       0.03510      1.08571      0.99035  32.89s
    249       0.04511       [32m0.03352[0m      1.34573      0.99311  33.11s
    250       0.04089       0.03360      1.21693      0.99081  33.12s
    251       [36m0.03610[0m       0.03504      1.03051      0.99127  33.13s
    252       0.04408       0.04596      0.95895      0.98713  33.26s
    253       0.03777       0.04017      0.94018      0.99081  34.30s
    254       0.03734       0.03413      1.09425      0.99311  34.31s
    255       0.03816       [32m0.02806[0m      1.35972      0.99357  33.61s
    256       0.04181       0.03335      1.25398      0.98943  33.66s
    257       0.03689       0.03065      1.20358      0.99127  33.27s
    258       0.03880       0.03515      1.10390      0.99081  33.42s
    259       0.04459       0.04417      1.00946      0.98628  33.21s
    260       0.03789       0.03910      0.96922      0.99081  33.69s
    261       0.04460       0.04152      1.07439      0.98897  33.56s
    262       0.03788       0.03889      0.97403      0.98805  33.41s
    263       [36m0.03457[0m       0.04470      0.77347      0.98851  33.39s
    264       0.04132       0.04621      0.89403      0.98667  33.22s
    265       0.04383       0.03593      1.22002      0.99311  33.09s
    266       0.04046       0.04136      0.97818      0.98529  32.87s
    267       0.04093       0.03732      1.09671      0.99081  33.06s
    268       0.03991       0.04133      0.96551      0.99035  32.91s
    269       0.04131       0.03981      1.03754      0.98582  33.00s
    270       0.03618       0.03152      1.14776      0.98950  32.98s
    271       0.03718       0.03857      0.96397      0.99081  32.97s
    272       0.03748       0.04411      0.84969      0.98805  33.11s
    273       0.03781       0.03700      1.02171      0.99081  32.93s
    274       0.03472       0.04957      0.70033      0.98307  33.07s
    275       0.04028       0.03918      1.02820      0.99081  32.86s
    276       0.04086       0.03543      1.15307      0.99219  33.08s
    277       0.03814       0.03553      1.07342      0.99127  32.91s
    278       0.03521       0.03020      1.16587      0.99449  33.05s
    279       0.04377       0.03779      1.15832      0.98805  32.98s
    280       0.03649       0.02931      1.24508      0.99357  33.07s
    281       [36m0.03038[0m       [32m0.02747[0m      1.10590      0.99357  32.96s
    282       0.03692       0.03560      1.03705      0.99035  33.03s
    283       0.03469       0.03723      0.93180      0.99035  33.14s
    284       0.03649       0.02841      1.28455      0.99081  33.05s
    285       0.03530       0.04477      0.78835      0.98215  33.12s
    286       0.04121       0.03777      1.09090      0.98943  33.01s
    287       0.03837       0.04270      0.89847      0.98445  33.16s
    288       0.03082       0.03144      0.98037      0.99173  33.08s
    289       0.04107       0.03312      1.23999      0.99127  33.08s
    290       0.03389       0.02940      1.15287      0.99311  33.10s
    291       0.04055       0.03999      1.01395      0.98805  33.06s
    292       0.03368       0.03045      1.10616      0.99265  33.12s
    293       0.03593       0.03009      1.19407      0.99081  33.04s
    294       0.03844       0.03641      1.05566      0.99127  33.16s
    295       0.03791       0.04246      0.89296      0.98445  33.28s
    296       0.03661       0.02934      1.24808      0.99311  33.21s
    297       0.04108       0.02770      1.48336      0.99357  33.34s
    298       0.03066       [32m0.02551[0m      1.20229      0.99357  33.23s
    299       0.03759       0.03679      1.02182      0.99081  32.88s
    300       0.03311       0.03036      1.09058      0.99403  33.85s
    301       0.04142       0.02890      1.43310      0.99311  33.12s
    302       0.03101       0.03120      0.99399      0.99173  33.12s
    303       0.03773       [32m0.02484[0m      1.51860      0.99449  33.13s
    304       0.03733       0.02850      1.30988      0.99219  33.00s
    305       0.03890       0.03203      1.21460      0.99127  33.19s
    306       0.03576       0.04706      0.75987      0.98445  33.05s
    307       0.03393       0.02872      1.18113      0.99403  33.41s
    308       0.03514       0.03088      1.13795      0.99311  33.55s
    309       0.03606       0.03336      1.08092      0.99357  33.14s
    310       0.04239       0.03544      1.19586      0.99081  33.11s
    311       0.03313       0.02891      1.14605      0.99265  33.37s
    312       0.03220       0.03327      0.96766      0.98943  33.40s
    313       0.03286       0.03239      1.01464      0.98805  34.13s
    314       0.03173       0.03611      0.87860      0.98805  33.35s
    315       0.03533       0.04234      0.83425      0.98713  33.02s
    316       0.03440       0.03478      0.98910      0.99081  33.17s
    317       0.03443       0.04059      0.84830      0.98851  33.02s
    318       0.03126       0.03217      0.97187      0.98897  33.13s
    319       0.03600       0.03882      0.92736      0.98123  33.01s
    320       0.03281       0.02691      1.21928      0.99311  33.11s
    321       0.03643       0.02712      1.34329      0.99494  33.11s
    322       0.03233       0.02990      1.08116      0.99173  32.95s
    323       [36m0.02956[0m       0.02864      1.03215      0.99035  33.12s
    324       0.03514       0.02987      1.17638      0.99081  33.11s
    325       0.03159       0.03200      0.98745      0.99127  33.20s
    326       0.03598       0.03083      1.16702      0.99219  33.35s
    327       0.03059       0.03818      0.80121      0.98759  33.28s
    328       0.03131       0.03128      1.00078      0.99035  34.13s
    329       0.03604       0.02616      1.37771      0.99219  33.25s
    330       0.03394       0.02601      1.30458      0.99173  33.00s
    331       0.03474       [32m0.02469[0m      1.40713      0.99357  32.95s
    332       0.03033       0.02612      1.16120      0.99403  33.00s
    333       0.03120       0.02987      1.04452      0.99357  32.82s
    334       0.03228       0.02782      1.16027      0.99265  33.35s
    335       0.03203       0.03173      1.00955      0.99127  33.79s
    336       0.03276       0.02659      1.23222      0.99311  33.40s
    337       0.03283       0.02587      1.26910      0.99265  32.99s
    338       [36m0.02520[0m       [32m0.02277[0m      1.10699      0.99311  33.10s
    339       0.03402       [32m0.02070[0m      1.64339      0.99173  33.11s
    340       0.04067       0.02330      1.74526      0.99311  32.92s
    341       0.03356       0.02515      1.33405      0.99357  33.07s
    342       0.03684       0.02194      1.67914      0.99449  32.84s
    343       0.03327       0.03134      1.06148      0.99219  33.00s
    344       0.03388       0.02724      1.24358      0.99357  32.85s
    345       0.02922       0.03166      0.92272      0.99219  33.09s
    346       0.03115       0.02407      1.29399      0.99494  32.85s
    347       0.03333       0.02650      1.25792      0.99311  32.99s
    348       0.02777       0.04342      0.63951      0.98713  32.99s
    349       0.03345       0.03133      1.06782      0.99081  32.86s
    350       0.03352       0.03801      0.88178      0.99081  32.94s
    351       0.03504       0.03311      1.05839      0.98720  32.78s
    352       0.03430       0.03592      0.95485      0.98989  33.07s
    353       0.03196       0.03584      0.89174      0.98536  32.83s
    354       0.02859       0.02910      0.98259      0.98904  32.97s
    355       0.03785       0.02974      1.27252      0.98720  32.74s
    356       0.03053       0.02478      1.23217      0.99042  32.89s
    357       0.03038       0.02664      1.14032      0.99219  32.94s
    358       0.02936       0.03568      0.82276      0.99081  32.93s
    359       0.02732       0.02232      1.22368      0.99586  32.74s
    360       0.03204       0.03117      1.02792      0.99311  32.72s
    361       0.02981       0.02400      1.24216      0.99357  32.80s
    362       0.03508       0.03662      0.95779      0.98897  33.39s
    363       0.03049       0.03075      0.99136      0.99127  32.95s
    364       0.03093       0.03784      0.81747      0.98582  32.70s
    365       0.03045       0.02905      1.04817      0.99173  32.89s
    366       0.02829       0.03288      0.86035      0.98989  32.64s
    367       0.03682       0.03137      1.17386      0.98897  32.79s
    368       0.02796       0.03043      0.91862      0.99081  32.69s
    369       0.02679       0.02369      1.13114      0.99357  32.78s
    370       0.03285       0.02597      1.26514      0.99219  32.84s
    371       0.03111       0.02447      1.27130      0.99173  32.69s
    372       0.02735       0.02374      1.15222      0.99265  32.90s
    373       0.02986       0.02183      1.36743      0.99403  32.66s
    374       0.03059       0.02689      1.13761      0.99265  32.81s
    375       0.03520       0.02508      1.40347      0.99403  32.78s
    376       0.03093       0.02616      1.18250      0.99357  32.83s
    377       0.03010       0.02713      1.10952      0.99311  32.67s
    378       0.03108       0.02699      1.15158      0.99265  32.85s
    379       0.02716       0.03784      0.71768      0.98851  32.71s
    380       0.03427       0.02119      1.61722      0.99540  32.82s
    381       0.03150       0.03368      0.93522      0.98943  32.82s
    382       [36m0.02516[0m       0.02670      0.94252      0.99127  32.62s
    383       [36m0.02333[0m       0.02079      1.12197      0.99449  32.82s
    384       0.02739       [32m0.01840[0m      1.48851      0.99449  32.72s
    385       0.03135       0.02807      1.11669      0.99127  32.91s
    386       0.03546       0.02071      1.71221      0.99494  32.75s
    387       0.03223       0.02068      1.55876      0.99540  32.85s
    388       0.02691       0.02390      1.12582      0.99494  32.70s
    389       0.02810       0.02699      1.04128      0.99219  32.84s
    390       0.02776       0.02368      1.17207      0.99357  32.80s
    391       0.03021       0.02284      1.32253      0.99494  32.83s
    392       0.03201       0.02139      1.49665      0.99494  32.82s
    393       0.03194       0.02423      1.31823      0.99265  32.70s
    394       0.03120       0.02446      1.27574      0.99403  32.85s
    395       0.02952       0.02950      1.00096      0.99081  32.72s
    396       0.02732       0.02164      1.26222      0.99357  32.86s
    397       0.03249       0.02278      1.42614      0.99311  32.74s
    398       0.02716       0.02934      0.92569      0.99081  32.84s
    399       0.02782       0.01920      1.44935      0.99540  32.72s
    400       0.02464       0.02212      1.11374      0.99403  32.82s
    401       0.02847       0.02843      1.00123      0.99081  32.82s
    402       0.02665       0.01927      1.38331      0.99403  32.84s
    403       0.02590       0.02540      1.01938      0.99265  32.89s
    404       0.02826       0.02793      1.01183      0.99035  32.78s
    405       0.02536       0.02502      1.01356      0.99265  32.88s
    406       0.02462       0.01961      1.25519      0.99403  32.76s
    407       0.02711       0.02865      0.94642      0.98989  32.96s
    408       0.03125       0.02214      1.41165      0.99403  32.76s
    409       0.02622       0.02785      0.94127      0.99173  32.94s
    410       0.02491       0.02401      1.03758      0.99265  32.72s
    411       0.02393       0.02702      0.88558      0.99127  32.85s
    412       0.03085       0.02484      1.24192      0.99403  32.92s
    413       0.03016       0.02803      1.07606      0.98858  32.77s
    414       0.02851       0.02484      1.14794      0.99042  32.86s
    415       0.03026       0.02743      1.10328      0.99265  32.69s
    416       0.02549       0.02209      1.15409      0.99403  33.01s
    417       0.02849       0.02353      1.21087      0.99357  33.47s
    418       0.02785       0.02635      1.05696      0.99403  32.96s
    419       0.02578       0.02422      1.06457      0.99357  32.73s
    420       0.03211       0.02442      1.31496      0.99357  32.91s
    421       0.02957       0.03317      0.89141      0.99081  32.78s
    422       0.02718       0.03178      0.85511      0.98628  32.87s
    423       0.02651       0.03475      0.76293      0.98989  32.85s
    424       0.02482       0.02698      0.91976      0.99357  32.77s
    425       0.02678       0.03165      0.84610      0.99081  32.88s
    426       0.02407       0.02431      0.99020      0.99127  32.82s
