/usr/local/lib/python2.7/dist-packages/lasagne/init.py:86: UserWarning: The uniform initializer no longer uses Glorot et al.'s approach to determine the bounds, but defaults to the range (-0.01, 0.01) instead. Please use the new GlorotUniform initializer to get the old behavior. GlorotUniform is now the default for all layers.
  warnings.warn("The uniform initializer no longer uses Glorot et al.'s "
/usr/local/lib/python2.7/dist-packages/lasagne/layers/helper.py:69: UserWarning: get_all_layers() has been changed to return layers in topological order. The former implementation is still available as get_all_layers_old(), but will be removed before the first release of Lasagne. To ignore this warning, use `warnings.filterwarnings('ignore', '.*topo.*')`.
  warnings.warn("get_all_layers() has been changed to return layers in "
local file exists
MD5 check passed
use existing files
There are 1056 yes images
There are 9244 no images
There are 22860 unknown images that we will predict
# Neural Network with 204605 learnable parameters

## Layer information

  #  name      size
---  --------  --------
  0  input     1x91x91
  1  conv1     4x89x89
  2  pool1     4x45x45
  3  dropout1  4x45x45
  4  conv2     8x44x44
  5  pool2     8x22x22
  6  dropout2  8x22x22
  7  conv3     16x21x21
  8  pool3     16x11x11
  9  dropout3  16x11x11
 10  hidden4   100
 11  dropout4  100
 12  hidden5   100
 13  dropout5  100
 14  output    1

  epoch    train loss    valid loss    train/val  dur
     68       0.04001       0.03895      1.02706  34.01s
     69       0.03974       [32m0.03284[0m      1.21038  33.93s
     70       [36m0.03856[0m       0.03290      1.17223  33.93s
     71       0.04086       0.03651      1.11935  33.96s
     72       0.03914       0.03709      1.05503  33.88s
     73       [36m0.03817[0m       0.03553      1.07423  33.97s
     74       0.03833       0.03430      1.11752  34.07s
     75       [36m0.03712[0m       0.03470      1.06971  34.05s
     76       0.03806       0.03572      1.06554  34.10s
     77       0.03794       0.03678      1.03166  34.14s
     78       0.03772       0.03689      1.02251  34.27s
     79       [36m0.03702[0m       0.03681      1.00575  34.07s
     80       0.03719       [32m0.03086[0m      1.20509  34.02s
     81       0.03826       0.03547      1.07889  34.23s
     82       0.03713       [32m0.02982[0m      1.24480  34.21s
     83       [36m0.03592[0m       0.03156      1.13798  34.09s
     84       0.03644       0.03240      1.12484  34.18s
     85       0.03606       0.03336      1.08094  34.32s
     86       [36m0.03475[0m       0.03385      1.02654  34.07s
     87       0.03619       0.03512      1.03029  34.19s
     88       [36m0.03436[0m       0.03189      1.07741  34.06s
     89       [36m0.03278[0m       0.03418      0.95898  34.11s
     90       0.03458       0.03120      1.10844  34.14s
     91       0.03578       0.03043      1.17570  34.08s
     92       0.03630       0.03419      1.06175  33.95s
     93       [36m0.03266[0m       0.03306      0.98783  34.02s
     94       0.03408       0.03222      1.05765  34.06s
     95       0.03494       0.03617      0.96605  33.93s
     96       0.03340       0.03439      0.97114  34.03s
     97       0.03536       0.03388      1.04376  34.01s
     98       0.03357       0.03075      1.09165  34.08s
     99       0.03435       [32m0.02970[0m      1.15636  34.10s
    100       0.03269       0.03055      1.07008  34.11s
    101       0.03327       0.03163      1.05200  34.04s
    102       [36m0.03068[0m       0.02985      1.02762  34.14s
    103       0.03271       0.03089      1.05891  34.06s
    104       0.03272       0.03316      0.98650  33.95s
    105       0.03390       0.03256      1.04098  33.94s
    106       0.03355       0.03026      1.10877  33.99s
    107       0.03276       [32m0.02942[0m      1.11360  33.98s
    108       [36m0.02940[0m       0.03119      0.94266  33.93s
    109       0.03220       [32m0.02878[0m      1.11868  34.11s
    110       0.03152       0.03357      0.93880  33.99s
    111       0.03203       0.03544      0.90372  34.23s
    112       0.03259       0.03069      1.06185  34.09s
    113       0.03138       0.03268      0.96040  34.14s
    114       0.03096       0.03514      0.88081  34.14s
    115       0.03152       0.03060      1.03009  34.29s
    116       0.03125       0.03138      0.99586  34.14s
    117       0.02989       [32m0.02869[0m      1.04177  34.08s
    118       0.03261       0.03270      0.99732  34.07s
    119       0.03262       0.03366      0.96919  34.15s
    120       [36m0.02887[0m       0.03002      0.96171  34.25s
    121       0.03101       0.02951      1.05087  34.18s
    122       0.03218       0.03006      1.07037  34.20s
    123       0.03061       [32m0.02822[0m      1.08489  34.26s
    124       0.03077       [32m0.02671[0m      1.15199  34.18s
    125       0.03108       0.02805      1.10801  34.14s
    126       0.03007       0.03041      0.98893  34.13s
    127       0.03121       0.03295      0.94706  34.30s
    128       0.02931       0.03005      0.97546  34.07s
    129       0.02976       0.02773      1.07318  34.05s
    130       [36m0.02855[0m       0.02932      0.97373  34.22s
    131       0.02965       0.03637      0.81528  34.15s
    132       0.02887       0.03175      0.90914  34.15s
    133       0.02914       0.02947      0.98862  33.96s
    134       [36m0.02778[0m       0.03189      0.87134  34.20s
    135       0.02816       0.03398      0.82864  34.08s
    136       [36m0.02772[0m       0.02998      0.92445  34.09s
    137       [36m0.02694[0m       0.02846      0.94647  34.27s
    138       0.02850       0.02847      1.00111  34.33s
    139       0.02789       0.02805      0.99449  34.19s
    140       0.02813       0.02864      0.98200  34.35s
    141       0.02807       0.03300      0.85072  34.49s
    142       0.02748       0.02936      0.93602  34.32s
    143       [36m0.02660[0m       0.03279      0.81124  34.27s
    144       0.02742       0.02720      1.00823  33.98s
    145       0.02776       0.02940      0.94447  34.28s
    146       0.02802       0.02725      1.02805  34.16s
    147       0.02783       0.02805      0.99200  34.09s
    148       [36m0.02545[0m       0.03612      0.70452  34.00s
    149       0.02574       [32m0.02642[0m      0.97402  33.89s
    150       0.02728       0.02691      1.01382  34.08s
    151       0.02734       0.02794      0.97865  34.00s
    152       [36m0.02517[0m       0.02908      0.86560  34.14s
    153       0.02694       0.02975      0.90564  34.22s
    154       0.02629       0.03119      0.84267  34.24s
    155       0.02547       0.02689      0.94711  34.00s
    156       0.02608       0.03195      0.81640  33.98s
    157       [36m0.02477[0m       0.02643      0.93690  34.02s
    158       0.02494       0.03094      0.80619  34.16s
    159       0.02640       0.02781      0.94930  34.19s
    160       0.02566       [32m0.02541[0m      1.00951  34.15s
    161       0.02642       0.02828      0.93433  34.16s
    162       0.02759       0.02747      1.00438  34.28s
    163       0.02587       0.02750      0.94058  34.07s
    164       0.02700       0.02832      0.95356  34.06s
    165       0.02499       0.02581      0.96804  34.14s
    166       0.02528       0.02788      0.90671  34.23s
    167       [36m0.02410[0m       0.02688      0.89637  34.05s
    168       0.02528       0.02961      0.85384  34.29s
    169       0.02457       0.02770      0.88689  34.31s
    170       0.02663       0.03221      0.82670  33.93s
    171       0.02508       0.02811      0.89229  33.96s
    172       [36m0.02393[0m       0.02718      0.88045  33.99s
    173       0.02435       0.02706      0.89986  33.99s
    174       0.02560       0.02703      0.94682  33.80s
    175       0.02448       0.02947      0.83085  33.88s
    176       0.02512       0.02772      0.90616  33.87s
    177       0.02409       0.02626      0.91746  33.81s
    178       0.02472       0.02804      0.88167  33.90s
    179       [36m0.02360[0m       0.02979      0.79233  33.97s
    180       [36m0.02333[0m       0.02842      0.82107  33.91s
    181       [36m0.02279[0m       0.02893      0.78779  33.86s
    182       0.02462       0.02801      0.87915  33.93s
    183       0.02503       0.02730      0.91666  33.97s
    184       0.02494       0.02706      0.92182  33.98s
    185       0.02533       [32m0.02447[0m      1.03508  33.91s
    186       0.02303       0.02770      0.83144  33.99s
    187       0.02288       0.02586      0.88482  34.19s
    188       [36m0.02215[0m       0.02539      0.87246  34.07s
    189       [36m0.02144[0m       0.02533      0.84629  33.90s
    190       0.02412       0.02802      0.86098  34.04s
    191       0.02376       0.02507      0.94777  34.05s
    192       0.02417       0.02793      0.86516  33.92s
    193       0.02323       0.02491      0.93293  34.00s
    194       0.02239       [32m0.02391[0m      0.93645  34.24s
    195       0.02349       0.02624      0.89496  34.21s
    196       0.02375       0.02853      0.83252  34.03s
    197       0.02276       0.02696      0.84404  34.42s
    198       0.02267       0.02703      0.83870  34.22s
    199       0.02479       0.02717      0.91255  33.98s
    200       0.02321       0.02449      0.94767  34.03s
    201       0.02269       0.02827      0.80282  34.07s
    202       0.02176       0.02536      0.85802  34.00s
    203       0.02295       0.02560      0.89648  34.10s
    204       [36m0.02103[0m       0.02702      0.77831  34.15s
    205       0.02136       0.02703      0.79041  34.06s
    206       0.02347       0.02680      0.87560  34.04s
    207       0.02258       0.02715      0.83143  34.09s
    208       0.02134       0.02443      0.87337  34.04s
    209       0.02241       0.02976      0.75292  34.09s
    210       0.02164       0.02791      0.77544  33.98s
    211       0.02325       0.02595      0.89611  33.79s
    212       0.02165       0.02725      0.79437  33.95s
    213       [36m0.02034[0m       0.02585      0.78691  34.02s
    214       0.02107       0.02647      0.79616  34.26s
    215       0.02167       0.02664      0.81334  34.10s
    216       0.02120       0.02579      0.82213  33.95s
    217       0.02096       0.02519      0.83232  34.03s
    218       0.02092       0.02683      0.77949  34.35s
    219       0.02228       0.02974      0.74911  34.07s
    220       0.02054       0.03066      0.66995  33.99s
    221       0.02299       0.02583      0.88979  34.02s
    222       0.02298       0.02801      0.82056  34.21s
    223       0.02340       0.02514      0.93110  33.92s
    224       [36m0.01966[0m       0.02717      0.72349  34.20s
    225       0.02209       0.02628      0.84049  34.39s
    226       0.02242       0.02516      0.89135  34.21s
    227       0.02170       0.02621      0.82784  34.08s
    228       0.02036       0.02800      0.72719  34.36s
    229       0.02166       0.02533      0.85515  34.44s
    230       0.02051       0.02891      0.70956  34.34s
    231       0.01979       0.02591      0.76376  34.60s
    232       0.02136       0.02627      0.81301  34.49s
    233       0.02129       0.02486      0.85662  34.53s
    234       0.02131       0.02635      0.80860  34.45s
    235       0.02123       0.02512      0.84530  34.49s
    236       [36m0.01911[0m       0.02652      0.72064  34.86s
    237       0.02038       0.02679      0.76065  34.55s
    238       0.02027       0.02626      0.77196  34.42s
    239       0.02022       0.02803      0.72127  34.50s
    240       0.02138       0.02432      0.87934  34.65s
    241       0.02120       0.02639      0.80353  34.34s
    242       0.01997       0.02553      0.78206  34.36s
    243       0.01923       0.02425      0.79281  34.12s
    244       0.01927       0.02554      0.75428  34.04s
    245       [36m0.01900[0m       [32m0.02370[0m      0.80168  34.16s
    246       0.02076       0.02987      0.69480  34.43s
    247       0.02121       0.02474      0.85720  34.18s
    248       0.01944       0.02647      0.73460  34.35s
    249       0.02023       0.02460      0.82233  34.13s
    250       0.01900       0.02501      0.75975  34.31s
    251       [36m0.01895[0m       0.02671      0.70920  34.08s
    252       0.02084       0.02615      0.79720  34.19s
    253       0.02034       0.02527      0.80512  34.21s
    254       0.02068       0.02514      0.82272  34.05s
    255       0.02066       0.02540      0.81336  34.08s
    256       0.02013       0.02711      0.74245  34.13s
    257       0.01900       0.02543      0.74712  34.19s
    258       0.01937       0.02424      0.79929  34.14s
    259       0.01945       0.02374      0.81963  34.14s
    260       0.01955       0.02630      0.74331  34.29s
    261       0.01901       0.02647      0.71791  34.23s
    262       0.02007       0.02636      0.76117  34.34s
    263       0.02046       0.02752      0.74337  33.92s
    264       [36m0.01839[0m       0.02583      0.71178  34.38s
    265       0.01981       0.02471      0.80175  34.30s
    266       [36m0.01826[0m       0.02627      0.69521  34.45s
    267       0.02003       0.02686      0.74585  34.61s
    268       0.02072       0.02660      0.77899  34.47s
    269       0.01944       0.02816      0.69018  34.24s
    270       0.01910       [32m0.02339[0m      0.81661  34.26s
    271       0.01898       0.02538      0.74791  34.33s
    272       0.01848       0.02446      0.75579  34.24s
    273       0.01912       0.02552      0.74942  34.45s
    274       0.01989       0.02946      0.67510  34.70s
    275       0.01924       0.02639      0.72884  34.05s
    276       [36m0.01812[0m       0.02456      0.73771  34.17s
    277       0.01986       0.02564      0.77452  34.19s
    278       [36m0.01731[0m       0.02704      0.64015  34.32s
    279       0.01835       0.02566      0.71487  34.49s
    280       0.01788       0.02524      0.70831  34.45s
    281       0.01909       0.02710      0.70432  34.45s
    282       0.02033       0.02954      0.68803  34.35s
    283       0.01787       0.02637      0.67745  34.60s
    284       0.01808       0.02406      0.75167  34.59s
    285       0.01897       0.02618      0.72450  34.45s
    286       0.01809       0.02474      0.73122  34.36s
    287       0.01835       0.02733      0.67135  34.29s
    288       0.01807       0.02813      0.64249  34.34s
    289       0.01832       0.02530      0.72396  34.24s
    290       0.01778       0.02352      0.75603  34.35s
    291       0.01804       0.02444      0.73820  34.52s
    292       0.01734       0.02579      0.67226  34.52s
    293       0.01919       0.02672      0.71839  34.36s
    294       0.02007       0.02599      0.77242  34.49s
    295       0.01914       0.02629      0.72812  34.45s
    296       0.01887       0.02711      0.69584  34.27s
    297       0.01864       0.02461      0.75719  34.18s
    298       0.01793       0.02472      0.72545  34.62s
    299       0.01744       0.02670      0.65317  34.55s
    300       0.01762       0.02745      0.64176  34.52s
    301       [36m0.01670[0m       0.02573      0.64926  34.34s
    302       0.01673       0.02625      0.63710  34.63s
    303       0.01963       0.02600      0.75502  34.73s
    304       0.01721       0.02573      0.66874  34.45s
    305       0.01801       0.02592      0.69458  34.27s
    306       0.01746       [32m0.02208[0m      0.79080  34.47s
    307       0.01909       0.02571      0.74244  34.46s
    308       0.01952       0.02423      0.80548  34.24s
    309       0.01896       0.02398      0.79057  34.59s
    310       0.01732       0.02707      0.64008  34.35s
    311       0.01822       0.02574      0.70795  34.13s
    312       0.01839       0.02506      0.73386  34.47s
    313       [36m0.01599[0m       0.02708      0.59040  34.67s
    314       0.01702       0.02517      0.67612  34.63s
    315       0.01842       0.02432      0.75728  34.57s
    316       0.01829       0.02555      0.71582  34.66s
    317       0.01907       0.02402      0.79358  34.50s
    318       0.01721       0.02728      0.63070  34.28s
    319       0.01767       0.02889      0.61169  34.44s
    320       0.01678       0.02548      0.65837  34.28s
    321       [36m0.01568[0m       0.02439      0.64278  34.14s
    322       0.01829       0.02339      0.78175  34.80s
    323       0.01707       0.02617      0.65232  34.61s
    324       0.01798       0.02388      0.75311  34.25s
    325       0.01818       0.02503      0.72634  34.35s
    326       0.01589       0.02492      0.63749  34.53s
    327       0.01808       0.02369      0.76345  34.70s
    328       0.01753       0.02628      0.66717  34.74s
    329       0.01724       0.02555      0.67463  34.47s
    330       0.01948       0.02490      0.78262  34.68s
    331       [36m0.01535[0m       0.02706      0.56733  34.30s
    332       0.01659       0.02379      0.69728  34.33s
    333       0.01763       0.02502      0.70457  34.85s
    334       0.01662       0.02440      0.68129  35.01s
    335       0.01690       0.02846      0.59397  34.53s
    336       0.01631       0.02443      0.66757  34.47s
    337       0.01824       0.02527      0.72203  34.58s
    338       0.01724       0.02392      0.72082  34.56s
    339       0.01627       0.02495      0.65215  34.52s
    340       0.01589       0.02680      0.59270  34.51s
    341       0.01613       0.02477      0.65124  34.47s
    342       0.01730       0.02602      0.66464  34.45s
    343       0.01550       0.02640      0.58734  34.51s
    344       0.01576       0.02531      0.62283  34.48s
    345       0.01601       0.02372      0.67474  34.62s
    346       [36m0.01456[0m       0.02635      0.55251  34.57s
    347       0.01624       0.02421      0.67098  34.65s
    348       0.01744       0.02378      0.73336  34.73s
    349       0.01698       0.02597      0.65359  34.86s
    350       0.01524       0.02493      0.61102  34.61s
    351       0.01642       0.02628      0.62488  34.36s
    352       0.01676       0.02539      0.66004  34.60s
    353       0.01630       0.02474      0.65897  34.62s
    354       0.01758       0.02562      0.68599  34.87s
    355       0.01637       0.02476      0.66111  34.89s
    356       0.01569       0.02530      0.62047  34.48s
Early stopping.
Best valid loss was 0.022083 at epoch 306.
Loaded parameters to layer 'conv1' (shape 4x1x3x3).
Loaded parameters to layer 'conv1' (shape 4).
Loaded parameters to layer 'conv2' (shape 8x4x2x2).
Loaded parameters to layer 'conv2' (shape 8).
Loaded parameters to layer 'conv3' (shape 16x8x2x2).
Loaded parameters to layer 'conv3' (shape 16).
Loaded parameters to layer 'hidden4' (shape 1936x100).
Loaded parameters to layer 'hidden4' (shape 100).
Loaded parameters to layer 'hidden5' (shape 100x100).
Loaded parameters to layer 'hidden5' (shape 100).
Loaded parameters to layer 'output' (shape 100x1).
Loaded parameters to layer 'output' (shape 1).
