,target
1,0.936627447605
3,0.320209532976
6,0.167398005724
9,0.277373582125
10,0.637713193893
11,0.528721868992
12,0.0414412878454
13,0.000311768468237
15,0.073827624321
17,0.0443706549704
18,0.588700711727
19,0.0882991924882
27,0.14294077456
29,0.0797495320439
33,0.741399765015
34,0.054905436933
39,0.127777338028
41,0.000484174554003
44,0.0688782334328
45,0.142022207379
47,0.278312206268
48,0.0277061574161
49,0.000617228331976
53,0.0920510664582
56,0.217842414975
57,0.265422075987
59,0.0199208315462
61,0.0561175569892
64,0.0711367726326
68,0.0986861810088
72,0.422484964132
73,0.0789927467704
81,0.0268278475851
82,0.241310372949
85,0.0169411152601
87,0.131373554468
88,0.28154695034
92,0.0710359811783
95,0.0111775193363
96,0.0280188806355
97,0.0873399376869
99,0.132000535727
103,0.29149761796
104,0.986140608788
105,0.000774078711402
106,0.190492615104
111,0.0779706090689
112,0.286189258099
114,0.000478862260934
117,0.000190055638086
118,0.0442174375057
119,0.0125516261905
120,0.114234954119
121,0.00306933932006
123,0.416618645191
127,0.0381724871695
129,0.0902835801244
130,0.0845445543528
132,0.143331483006
133,0.355006635189
134,0.0252448897809
135,0.707581698895
139,0.165130183101
141,0.0103497374803
142,0.0392108932137
145,0.0430373474956
146,0.252309918404
147,0.000605183013249
150,0.0520533770323
152,0.281140297651
153,0.159318864346
158,0.000645748630632
160,0.455893397331
163,0.137828066945
164,0.0593601688743
171,0.0734749063849
172,0.138339608908
173,0.0122991474345
174,0.368686258793
175,0.050242152065
176,0.157870009542
177,0.851374328136
178,0.148893460631
179,0.0960335358977
180,0.548155128956
181,0.351100444794
182,0.228558823466
185,0.643234670162
187,0.0658303126693
189,0.0801508277655
190,0.0664051547647
192,0.116667047143
193,0.291241317987
200,0.0860539004207
201,0.186118036509
202,0.29160630703
203,0.0257913023233
204,0.024821491912
205,0.325954586267
206,0.113200999796
208,0.0996543467045
209,0.0762919038534
212,0.858463466167
214,0.060299847275
216,0.192755565047
224,0.0411484874785
227,0.0870957821608
228,0.93761152029
