/usr/local/lib/python2.7/dist-packages/lasagne/init.py:86: UserWarning: The uniform initializer no longer uses Glorot et al.'s approach to determine the bounds, but defaults to the range (-0.01, 0.01) instead. Please use the new GlorotUniform initializer to get the old behavior. GlorotUniform is now the default for all layers.
  warnings.warn("The uniform initializer no longer uses Glorot et al.'s "
/usr/local/lib/python2.7/dist-packages/lasagne/layers/helper.py:69: UserWarning: get_all_layers() has been changed to return layers in topological order. The former implementation is still available as get_all_layers_old(), but will be removed before the first release of Lasagne. To ignore this warning, use `warnings.filterwarnings('ignore', '.*topo.*')`.
  warnings.warn("get_all_layers() has been changed to return layers in "
local file exists
MD5 check passed
use existing files
There are 1056 yes images
There are 9244 no images
There are 22860 unknown images that we will predict
# Neural Network with 592862 learnable parameters

## Layer information

  #  name      size
---  --------  --------
  0  input     1x91x91
  1  conv1     5x89x89
  2  pool1     5x45x45
  3  dropout1  5x45x45
  4  conv2     10x44x44
  5  pool2     10x22x22
  6  dropout2  10x22x22
  7  conv3     20x21x21
  8  pool3     20x11x11
  9  dropout3  20x11x11
 10  hidden4   230
 11  dropout4  230
 12  hidden5   150
 13  dropout5  150
 14  output    2

  epoch    train loss    valid loss    train/val    valid acc  dur
     96       [36m0.07654[0m       0.07667      0.99830      0.97250  46.64s
     97       0.08097       0.07830      1.03416      0.97204  46.31s
     98       0.08336       0.08405      0.99175      0.96790  46.22s
     99       [36m0.07648[0m       0.08408      0.90954      0.96659  46.66s
    100       0.08097       0.08083      1.00166      0.97296  46.31s
    101       0.07944       0.08124      0.97791      0.97066  46.40s
    102       0.08286       0.07894      1.04971      0.97158  46.60s
    103       [36m0.07471[0m       0.09041      0.82629      0.95977  46.21s
    104       0.07995       0.09174      0.87148      0.96069  46.41s
    105       0.07601       0.08225      0.92415      0.96023  46.65s
    106       [36m0.07393[0m       [32m0.06975[0m      1.05994      0.96981  46.29s
    107       0.07507       0.09012      0.83298      0.96705  46.28s
    108       [36m0.07363[0m       0.08194      0.89853      0.97112  46.66s
    109       0.07622       0.07231      1.05398      0.97296  46.26s
    110       0.07535       0.07424      1.01489      0.97027  46.35s
    111       0.07522       0.08896      0.84554      0.95885  46.54s
    112       0.07968       0.07262      1.09724      0.97525  46.22s
    113       0.07677       0.08103      0.94748      0.96843  46.28s
    114       0.07534       0.08323      0.90520      0.96384  46.59s
    115       0.07579       0.07179      1.05571      0.97388  46.16s
    116       [36m0.07287[0m       [32m0.06489[0m      1.12299      0.98116  46.17s
    117       0.07305       0.06963      1.04909      0.97296  46.69s
    118       0.07423       0.08371      0.88682      0.96613  46.28s
    119       0.07444       0.07800      0.95434      0.96391  46.13s
    120       [36m0.06906[0m       0.06633      1.04112      0.97886  46.45s
    121       [36m0.06630[0m       0.07323      0.90538      0.97119  43.26s
    122       0.07466       0.07494      0.99624      0.97342  42.47s
    123       [36m0.06611[0m       [32m0.06233[0m      1.06067      0.98254  42.72s
    124       0.06984       0.06404      1.09056      0.97441  42.58s
    125       0.07193       0.06609      1.08837      0.97978  42.56s
    126       0.06820       0.06239      1.09320      0.98024  42.78s
    127       0.06774       [32m0.06097[0m      1.11109      0.98070  43.15s
    128       0.06915       [32m0.06038[0m      1.14510      0.97709  42.92s
    129       [36m0.06565[0m       0.08917      0.73623      0.96751  42.74s
    130       0.06957       0.06173      1.12702      0.98024  42.90s
    131       [36m0.06275[0m       [32m0.06006[0m      1.04479      0.98162  42.83s
    132       0.06741       0.07341      0.91832      0.96751  42.77s
    133       0.06843       0.06176      1.10802      0.97617  42.77s
    134       0.06555       0.08199      0.79950      0.96613  42.87s
    135       0.06792       0.06023      1.12770      0.97978  42.78s
    136       0.06681       0.07480      0.89324      0.96981  45.39s
    137       0.07386       0.08368      0.88258      0.96161  45.80s
    138       0.06369       0.10301      0.61831      0.95571  45.73s
    139       0.07026       [32m0.05921[0m      1.18664      0.98254  48.25s
    140       0.06549       0.06539      1.00153      0.97978  43.44s
    141       0.06762       0.07156      0.94497      0.97571  44.11s
    142       0.06772       0.06831      0.99126      0.97434  44.05s
    143       0.06582       0.07852      0.83824      0.97296  44.07s
    144       0.06480       0.08430      0.76866      0.96299  44.03s
    145       [36m0.06091[0m       [32m0.05726[0m      1.06376      0.98254  44.12s
    146       0.06520       0.07476      0.87219      0.96751  43.86s
    147       0.06701       0.07368      0.90950      0.97204  43.61s
    148       0.06441       0.07529      0.85545      0.97434  43.68s
    149       0.06226       0.06950      0.89577      0.97342  43.69s
    150       0.06452       0.06546      0.98568      0.97801  43.68s
    151       0.06555       0.06252      1.04838      0.98254  43.72s
    152       [36m0.06004[0m       [32m0.05428[0m      1.10599      0.98392  43.73s
    153       0.06141       0.06950      0.88353      0.98116  43.87s
    154       0.06110       0.05742      1.06414      0.98483  43.87s
    155       0.06165       0.06351      0.97074      0.98162  43.82s
    156       0.06050       0.06141      0.98515      0.98254  43.77s
    157       0.06034       0.06528      0.92434      0.98208  43.84s
    158       0.06602       0.06772      0.97490      0.97932  43.71s
    159       [36m0.05361[0m       0.06300      0.85101      0.98070  43.69s
    160       0.06126       0.05827      1.05130      0.98300  43.74s
    161       0.05709       0.05523      1.03370      0.98392  43.66s
    162       0.06208       0.06036      1.02858      0.98483  44.21s
    163       0.06430       0.06444      0.99785      0.97663  44.18s
    164       0.06389       0.07805      0.81866      0.97158  44.45s
    165       0.06005       [32m0.05117[0m      1.17365      0.98300  44.66s
    166       0.06235       0.05661      1.10141      0.98208  44.48s
    167       0.05726       0.07533      0.76010      0.96843  44.59s
    168       0.05947       0.05342      1.11340      0.98300  44.45s
    169       [36m0.05341[0m       0.07339      0.72771      0.97388  44.55s
    170       0.05429       0.06862      0.79111      0.97434  44.50s
    171       0.05985       0.08832      0.67766      0.96345  41.08s
    172       0.05770       0.08183      0.70513      0.97434  40.25s
    173       0.05701       0.08616      0.66166      0.97250  40.24s
    174       0.06463       0.06188      1.04439      0.97709  40.39s
    175       [36m0.05330[0m       0.06283      0.84837      0.97709  40.24s
    176       0.05906       0.06679      0.88432      0.97663  40.06s
    177       0.05366       0.05523      0.97155      0.97893  40.32s
    178       0.05915       0.05197      1.13797      0.98529  40.08s
    179       0.05460       0.05934      0.92022      0.97755  40.08s
    180       0.05616       0.09419      0.59623      0.96299  40.40s
    181       0.05740       0.06591      0.87083      0.97165  41.13s
    182       0.05577       0.06678      0.83512      0.97027  41.11s
    183       0.05670       0.05865      0.96680      0.97801  41.17s
    184       0.05855       0.06081      0.96286      0.97709  41.26s
    185       0.05696       0.05694      1.00041      0.97349  41.29s
    186       0.05683       [32m0.04798[0m      1.18455      0.98667  41.28s
    187       0.06294       0.05868      1.07255      0.98254  42.05s
    188       0.05605       0.05775      0.97058      0.97939  42.71s
    189       0.05742       0.05874      0.97754      0.97801  42.70s
    190       [36m0.05013[0m       0.06092      0.82284      0.97939  42.77s
    191       0.05334       0.06850      0.77866      0.97663  40.56s
    192       0.05484       0.06452      0.85002      0.97709  39.47s
    193       0.05808       0.06297      0.92233      0.97709  40.08s
    194       0.05121       0.05430      0.94304      0.97939  39.79s
    195       0.05647       0.06073      0.92980      0.97709  39.72s
    196       [36m0.04705[0m       0.05066      0.92858      0.98300  39.75s
    197       0.05057       0.05794      0.87284      0.97709  39.69s
    198       0.05608       0.05846      0.95933      0.97801  39.60s
    199       0.05517       0.05712      0.96592      0.97801  39.79s
    200       0.05155       [32m0.04107[0m      1.25501      0.98805  39.70s
    201       0.05174       0.05381      0.96160      0.97939  39.51s
    202       0.05644       0.05092      1.10830      0.97939  39.72s
    203       0.05020       0.04482      1.12019      0.98215  39.75s
    204       0.05365       0.05848      0.91732      0.97303  39.49s
    205       0.04969       0.04654      1.06758      0.98529  39.56s
    206       0.05116       0.04616      1.10819      0.98575  39.65s
    207       0.05583       0.04907      1.13761      0.98575  40.45s
    208       [36m0.04465[0m       0.04292      1.04033      0.98713  39.66s
    209       0.05271       0.05456      0.96617      0.98031  39.67s
    210       0.05005       0.06103      0.82009      0.97893  39.57s
    211       0.04915       0.05837      0.84203      0.97847  39.64s
    212       0.05341       0.05873      0.90952      0.97801  40.12s
    213       0.04603       0.04331      1.06274      0.98667  39.88s
    214       0.05075       0.04808      1.05560      0.98483  39.64s
    215       0.05254       0.04600      1.14221      0.98215  41.05s
    216       0.05758       0.04443      1.29592      0.98805  40.38s
    217       0.05252       0.05072      1.03546      0.98031  40.44s
    218       0.04542       0.06424      0.70703      0.97847  40.70s
    219       0.04929       0.04349      1.13341      0.98307  40.11s
    220       0.04529       0.04199      1.07848      0.98353  39.72s
    221       0.04710       [32m0.04074[0m      1.15604      0.98851  39.68s
    222       0.04843       0.04564      1.06103      0.98713  40.01s
    223       0.04812       0.04318      1.11428      0.98805  41.10s
    224       0.05229       0.05676      0.92115      0.98031  40.47s
    225       0.04667       0.04684      0.99636      0.98621  40.34s
    226       0.05394       0.05539      0.97380      0.98123  40.01s
    227       0.05185       0.04155      1.24767      0.98713  40.11s
    228       0.04741       0.05085      0.93239      0.98713  39.93s
    229       0.04786       0.04526      1.05730      0.98575  40.12s
    230       0.04625       0.04347      1.06401      0.98713  40.17s
    231       0.05018       0.04399      1.14073      0.98759  40.08s
    232       0.04839       0.05052      0.95779      0.97939  40.19s
    233       0.04762       0.05277      0.90243      0.98392  40.23s
    234       [36m0.04317[0m       0.04864      0.88754      0.98483  40.09s
    235       0.04894       0.05959      0.82129      0.97663  40.07s
    236       0.04874       0.04675      1.04252      0.98529  40.18s
    237       0.04372       0.04399      0.99371      0.98713  40.09s
    238       0.04401       0.04540      0.96925      0.98667  40.15s
    239       0.05213       0.04870      1.07045      0.98123  40.14s
    240       0.05022       0.05515      0.91069      0.97847  40.08s
    241       0.05381       0.05010      1.07399      0.98575  40.03s
    242       0.04653       0.04721      0.98565      0.98169  40.12s
    243       0.04585       0.04427      1.03568      0.98759  39.93s
    244       0.04448       0.04837      0.91956      0.98307  39.94s
    245       0.04614       0.05002      0.92239      0.98621  40.18s
    246       [36m0.04308[0m       [32m0.03733[0m      1.15404      0.98759  39.98s
    247       0.04854       0.04676      1.03801      0.98123  40.13s
    248       0.04602       0.03805      1.20958      0.98575  40.16s
    249       0.04612       0.05015      0.91975      0.97939  39.90s
    250       0.05147       0.04922      1.04565      0.98169  40.19s
    251       0.04442       0.05414      0.82047      0.98031  40.54s
    252       0.05033       0.04383      1.14819      0.98438  40.92s
    253       0.04581       [32m0.03712[0m      1.23404      0.98713  39.93s
    254       0.04504       0.04829      0.93270      0.98261  40.18s
    255       0.04528       0.04847      0.93416      0.98031  39.95s
    256       [36m0.03990[0m       0.03967      1.00573      0.98261  40.07s
    257       0.04334       0.04683      0.92538      0.98169  40.37s
    258       0.04654       0.04667      0.99708      0.98261  40.28s
    259       0.04106       0.04527      0.90715      0.98215  39.93s
    260       0.04184       0.03721      1.12461      0.98713  40.17s
    261       0.04080       0.04203      0.97084      0.98667  40.00s
    262       0.04201       0.04198      1.00069      0.98307  40.06s
    263       0.04818       0.05533      0.87065      0.98031  40.11s
    264       [36m0.03957[0m       0.04477      0.88394      0.98169  39.96s
    265       0.04601       0.04247      1.08342      0.98667  40.03s
    266       0.04656       0.04090      1.13859      0.98215  40.05s
    267       0.04117       0.06185      0.66571      0.97755  40.23s
    268       0.04342       [32m0.03674[0m      1.18156      0.98759  41.20s
    269       0.04703       0.03886      1.21021      0.98667  40.10s
    270       0.04081       0.04330      0.94237      0.98123  40.39s
    271       0.04507       0.04275      1.05418      0.98529  39.99s
    272       0.04270       0.05265      0.81097      0.97847  39.63s
    273       0.04491       0.06180      0.72674      0.97395  39.45s
    274       0.04480       0.05726      0.78241      0.97755  39.50s
    275       0.04027       0.04631      0.86966      0.98077  40.94s
    276       [36m0.03581[0m       0.03852      0.92975      0.98759  40.26s
    277       0.03897       [32m0.03389[0m      1.15001      0.98759  40.51s
    278       0.04610       0.06012      0.76684      0.97847  40.43s
    279       0.03607       [32m0.03117[0m      1.15739      0.98759  40.04s
    280       0.04243       0.03424      1.23935      0.98805  40.04s
    281       0.03971       0.04448      0.89259      0.98529  40.19s
    282       [36m0.03283[0m       0.05265      0.62347      0.98031  40.07s
    283       0.04010       0.03882      1.03302      0.98759  40.01s
    284       0.04135       0.04089      1.01142      0.98529  40.19s
    285       0.04177       0.03503      1.19267      0.98621  40.09s
    286       0.03692       0.03350      1.10207      0.98851  40.07s
    287       0.04446       0.06230      0.71362      0.97985  40.13s
    288       0.04265       0.05064      0.84215      0.98077  39.95s
    289       0.03847       0.04633      0.83032      0.98491  40.11s
    290       0.04866       0.06451      0.75426      0.97487  40.15s
    291       0.04707       0.05566      0.84571      0.97801  40.04s
    292       0.03957       0.05048      0.78382      0.97985  40.18s
    293       0.04731       0.04578      1.03353      0.98215  40.18s
    294       0.04022       0.04440      0.90573      0.98353  40.13s
    295       0.03947       0.04684      0.84274      0.98307  39.91s
    296       0.04005       0.03415      1.17279      0.99035  40.47s
    297       0.04598       0.03437      1.33785      0.98805  40.60s
    298       0.04375       0.03353      1.30457      0.98805  40.00s
    299       0.04499       0.03987      1.12827      0.98805  40.27s
    300       0.03822       0.04293      0.89032      0.98667  40.16s
    301       0.03870       0.03128      1.23727      0.99081  40.12s
    302       0.04013       0.04408      0.91042      0.98169  40.22s
    303       0.04362       0.03591      1.21478      0.98169  40.36s
    304       0.04771       0.03686      1.29452      0.98307  40.00s
    305       0.04187       0.04581      0.91411      0.98215  40.60s
    306       0.04085       [32m0.03089[0m      1.32238      0.99081  40.23s
    307       0.04503       0.03320      1.35621      0.98989  39.82s
    308       0.03900       0.04379      0.89063      0.98077  40.02s
    309       0.03945       0.03491      1.12997      0.98897  40.06s
    310       0.03807       0.03869      0.98395      0.98759  39.85s
    311       0.04103       [32m0.03005[0m      1.36546      0.99173  40.15s
    312       0.04246       0.03183      1.33398      0.98897  40.28s
    313       0.03520       0.04785      0.73563      0.98123  39.91s
    314       0.04082       0.03612      1.13004      0.98989  40.08s
    315       0.03831       0.04139      0.92571      0.98667  39.95s
    316       0.03959       0.05230      0.75706      0.98261  39.85s
    317       0.03512       0.04252      0.82601      0.98261  40.12s
    318       0.04016       0.04614      0.87043      0.98077  39.91s
    319       0.04204       0.04509      0.93223      0.98307  40.06s
    320       0.03776       0.04388      0.86041      0.98307  40.13s
    321       0.03380       0.03806      0.88802      0.98582  39.94s
    322       0.03925       0.07019      0.55915      0.97624  40.28s
    323       0.03622       0.03989      0.90798      0.98759  40.03s
    324       0.04186       0.03985      1.05039      0.98897  39.66s
    325       0.03355       0.04705      0.71302      0.98307  39.60s
    326       [36m0.03268[0m       0.03349      0.97557      0.98582  39.84s
    327       0.03771       [32m0.02966[0m      1.27144      0.99265  39.56s
    328       0.03850       0.03156      1.21977      0.99219  39.70s
    329       0.03900       0.03686      1.05822      0.98674  39.75s
    330       0.03287       0.03517      0.93458      0.98628  39.70s
    331       0.03900       [32m0.02882[0m      1.35317      0.99035  39.60s
    332       0.03897       0.04952      0.78695      0.98307  39.78s
    333       0.03670       0.04123      0.88993      0.98307  39.42s
    334       0.03514       0.03657      0.96095      0.98491  39.58s
    335       0.03649       [32m0.02838[0m      1.28550      0.98989  39.69s
    336       0.04044       0.03170      1.27553      0.98989  39.42s
    337       0.03699       0.04855      0.76193      0.97762  39.67s
    338       0.03468       0.03410      1.01705      0.98943  39.80s
    339       0.03316       0.03708      0.89436      0.98353  39.51s
    340       0.03603       0.03194      1.12803      0.99127  39.56s
    341       0.03801       0.03638      1.04501      0.99127  40.07s
    342       0.03463       0.03408      1.01598      0.98851  40.50s
    343       0.03769       [32m0.02766[0m      1.36240      0.99173  39.74s
    344       0.04217       0.03515      1.19992      0.98989  39.88s
    345       0.04056       0.02881      1.40758      0.99081  39.63s
    346       0.03548       0.03555      0.99806      0.98897  39.85s
    347       0.03651       0.03601      1.01380      0.98851  39.93s
    348       0.03419       [32m0.02731[0m      1.25189      0.99081  39.62s
    349       [36m0.03062[0m       0.03792      0.80740      0.98491  39.76s
    350       0.03311       0.03150      1.05105      0.98989  40.02s
    351       0.03931       0.03719      1.05711      0.98491  39.68s
    352       0.03361       0.03156      1.06515      0.99081  39.71s
    353       0.04215       0.03336      1.26360      0.98989  39.78s
    354       0.03553       0.03663      0.96976      0.98536  39.50s
    355       0.03858       0.03293      1.17150      0.99081  39.65s
    356       0.03448       0.03151      1.09422      0.99127  39.91s
    357       0.04134       0.03182      1.29921      0.99035  40.57s
    358       0.03378       [32m0.02336[0m      1.44638      0.99311  40.11s
    359       0.03194       0.02962      1.07846      0.99081  40.41s
    360       [36m0.02957[0m       0.03633      0.81409      0.98307  39.83s
    361       0.03300       0.03929      0.83988      0.98720  41.59s
    362       0.03552       0.03709      0.95772      0.98674  42.06s
    363       0.03049       0.02876      1.06023      0.99081  42.41s
    364       [36m0.02722[0m       0.02638      1.03208      0.98996  40.32s
    365       0.03176       0.02753      1.15362      0.98950  40.50s
    366       0.03247       0.03264      0.99454      0.99219  41.93s
    367       0.03398       0.02473      1.37372      0.99311  40.09s
    368       0.03036       0.02363      1.28509      0.99265  39.74s
    369       0.03533       0.03734      0.94619      0.98628  39.59s
    370       0.03110       0.02936      1.05950      0.99219  39.51s
    371       0.03168       0.02532      1.25142      0.99219  39.82s
    372       0.03269       0.02495      1.31010      0.99311  39.67s
    373       0.03600       0.03810      0.94496      0.98169  39.43s
    374       0.03246       0.03229      1.00511      0.98996  39.60s
    375       0.03246       0.03824      0.84889      0.98628  39.50s
    376       0.03435       0.03651      0.94081      0.98858  40.46s
    377       0.03229       0.03465      0.93184      0.98812  40.74s
    378       0.03477       0.03010      1.15518      0.99173  41.14s
    379       0.02854       0.02557      1.11591      0.99357  40.29s
    380       0.03227       0.02497      1.29260      0.99494  40.79s
    381       0.03381       0.03128      1.08066      0.98582  40.60s
    382       0.03263       0.02476      1.31821      0.99449  40.59s
    383       0.03620       0.04002      0.90466      0.98628  40.14s
    384       0.02949       0.03753      0.78587      0.98720  39.74s
    385       0.03151       0.02851      1.10525      0.99219  39.49s
    386       0.03518       0.04621      0.76130      0.97992  40.25s
    387       0.03034       0.04460      0.68026      0.98491  40.51s
    388       0.03064       0.03036      1.00928      0.98628  40.58s
    389       0.02885       0.04604      0.62669      0.98445  40.77s
    390       0.03146       0.03217      0.97810      0.98674  40.75s
    391       0.03115       [32m0.02102[0m      1.48166      0.99449  39.99s
    392       0.03709       0.02415      1.53584      0.99311  40.36s
    393       0.03577       0.02457      1.45584      0.99219  39.94s
    394       0.03422       0.03229      1.05973      0.98628  40.38s
    395       0.03127       0.03215      0.97269      0.98628  41.24s
    396       0.02929       0.02661      1.10062      0.99219  40.46s
    397       0.03381       0.03389      0.99751      0.98674  40.05s
    398       0.03325       0.02526      1.31601      0.99311  39.64s
    399       0.03708       0.03275      1.13225      0.99173  39.55s
    400       0.03276       0.02855      1.14724      0.98858  39.39s
    401       0.02873       0.02937      0.97828      0.99035  39.73s
    402       0.02986       [32m0.02069[0m      1.44338      0.99494  39.73s
    403       0.03339       0.03205      1.04176      0.99081  39.37s
    404       0.02783       0.03203      0.86876      0.99127  39.80s
    405       0.03340       0.02728      1.22430      0.99127  39.69s
    406       0.03127       0.03269      0.95649      0.98582  39.52s
    407       [36m0.02504[0m       0.02484      1.00821      0.99219  39.84s
    408       0.02917       [32m0.01773[0m      1.64490      0.99449  39.63s
    409       0.03139       0.02696      1.16408      0.99127  39.72s
    410       0.02985       0.02493      1.19714      0.99265  40.03s
    411       0.02649       0.02544      1.04098      0.99357  39.63s
    412       0.02595       0.02877      0.90187      0.99127  39.63s
    413       0.04313       0.03743      1.15225      0.98989  39.71s
    414       0.02739       0.02111      1.29768      0.99357  39.38s
    415       0.02867       0.02416      1.18668      0.99403  39.67s
    416       0.03473       0.03036      1.14415      0.99173  39.91s
    417       0.03103       0.02689      1.15405      0.99219  39.50s
    418       0.02929       0.02949      0.99346      0.98812  39.54s
    419       0.02672       0.03078      0.86824      0.98766  39.84s
    420       0.02539       0.04101      0.61898      0.98261  39.52s
    421       0.03437       0.03645      0.94286      0.98261  39.73s
    422       0.02540       0.02150      1.18128      0.99403  39.90s
    423       0.03280       0.02589      1.26708      0.99127  40.44s
    424       0.03201       0.03210      0.99699      0.98674  40.72s
